freq_Hz,VCO,REF,DTC,MMD,SPD_GM,DSM_QN,TOTAL
480512.025,-119.646,-121.959,-124.686,-127.325,-129.325,-181.821,-116.264
494578.905,-119.541,-122.035,-124.656,-127.295,-129.295,-181.289,-116.227
509057.590,-119.441,-122.112,-124.626,-127.265,-129.265,-180.758,-116.192
523960.135,-119.345,-122.190,-124.599,-127.238,-129.238,-180.229,-116.159
539298.949,-119.253,-122.270,-124.573,-127.212,-129.212,-179.702,-116.127
555086.803,-119.166,-122.351,-124.549,-127.188,-129.188,-179.177,-116.097
571336.843,-119.084,-122.434,-124.527,-127.166,-129.166,-178.655,-116.070
588062.599,-119.006,-122.518,-124.508,-127.147,-129.147,-178.134,-116.045
605277.998,-118.933,-122.605,-124.491,-127.130,-129.130,-177.616,-116.023
622997.373,-118.865,-122.694,-124.477,-127.116,-129.116,-177.101,-116.003
641235.480,-118.803,-122.785,-124.466,-127.105,-129.105,-176.588,-115.987
660007.502,-118.746,-122.878,-124.458,-127.096,-129.096,-176.079,-115.974
679329.072,-118.694,-122.974,-124.453,-127.091,-129.091,-175.572,-115.965
699216.276,-118.647,-123.073,-124.451,-127.090,-129.090,-175.070,-115.959
719685.673,-118.606,-123.176,-124.453,-127.092,-129.092,-174.570,-115.957
740754.307,-118.570,-123.281,-124.458,-127.097,-129.097,-174.075,-115.958
762439.721,-118.541,-123.389,-124.468,-127.107,-129.107,-173.583,-115.964
784759.970,-118.517,-123.501,-124.482,-127.121,-129.121,-173.096,-115.975
807733.640,-118.499,-123.617,-124.500,-127.139,-129.139,-172.613,-115.990
831379.858,-118.486,-123.736,-124.522,-127.161,-129.161,-172.134,-116.009
